"Supplemental Table: APMV-1 complete fusion protein gene squences used for phylodynamic analysis. ""Order code"" corresponds to the host order categorization used for the host phylodynamic model (ANS = Anseriformes, CHI = Domestic chickens, COL = Columbiformes, GAL = other Galliformes, PSI = Psittaciformes, SUL = Suliformes, UN = Unspeficied)"												
Class	Genotype	GenBank Accession #	Isolate	Host	Order	Order Code	World Region	Country	US State	US Region	US Flyway	Year
I	1b	KM669995.1	SD21/13	egret	Pelecaniformes	UN	East Asia	China	X	X	X	2013
I	1b	KM669996.1	SD22/13	heron	Pelecaniformes	UN	East Asia	China	X	X	X	2013
I	1b	KJ607171.1	LHLJ/131047	peacock	Galliformes	UN	East Asia	China	X	X	X	2013
I	1b	KT381587.1	Guangdong/YF1	pigeon	Columbiformes	UN	East Asia	China	X	X	X	2014
I	1b	KT223818.1	Qinghai-01	pigeon	Columbiformes	UN	East Asia	China	X	X	X	2014
I	1c	HQ398777	08-037	duck	Anseriformes	ANS	East Asia	China	X	X	X	2008
I	1c	HQ398780	08-044	duck	Anseriformes	ANS	East Asia	China	X	X	X	2008
I	1c	HQ412767	08-046	duck	Anseriformes	ANS	East Asia	China	X	X	X	2008
I	1c	FJ597585	AH/10	duck	Anseriformes	ANS	East Asia	China	X	X	X	2006
I	1c	FJ597586	FJ/2	duck	Anseriformes	ANS	East Asia	China	X	X	X	2002
I	1c	FJ597587	JS/9	duck	Anseriformes	ANS	East Asia	China	X	X	X	2006
I	1c	HQ008337	JS10	duck	Anseriformes	ANS	East Asia	China	X	X	X	2010
I	1c	JF893453	JX07	duck	Anseriformes	ANS	East Asia	China	X	X	X	2007
I	1c	KF055275.1	strainCh/D10	duck	Anseriformes	ANS	East Asia	China	X	X	X	2009
I	1c	FJ597580	ZJ/1	duck	Anseriformes	ANS	East Asia	China	X	X	X	2002
I	1c	FJ597581	ZJ/3	duck	Anseriformes	ANS	East Asia	China	X	X	X	2002
I	1c	DQ097393	DER49/99	duck	Anseriformes	ANS	Europe	Germany	X	X	X	1999
I	1c	KC503412.1	10UO0343	duck	Anseriformes	ANS	East Asia	Japan	X	X	X	2010
I	1c	AB871656.1	Tottori/453	duck	Anseriformes	ANS	East Asia	Japan	X	X	X	2009
I	1c	AB871657.1	Tottori/481	duck	Anseriformes	ANS	East Asia	Japan	X	X	X	2009
I	1c	KF361507.1	Jilin	mallard	Anseriformes	ANS	East Asia	China	X	X	X	2011
I	1c	JX844030.1	9147	mallard	Anseriformes	ANS	Europe	Finland	X	X	X	2010
I	1c	AY034801.2		mallard	Anseriformes	ANS	Europe	Finland	X	X	X	1997
I	1c	EU493454.2	13193	pochard	Anseriformes	ANS	Europe	Finland	X	X	X	2006
I	1c	KU366517.1	Chokpak/5717	shelduck	Anseriformes	ANS	Central Asia	Kazakhstan	X	X	X	2013
I	1c	EU493451.2	12104	teal	Anseriformes	ANS	Europe	Finland	X	X	X	2006
I	1c	KC503483.1	543FFNK15	Slaty-backed Gull	Charadriiformes	CHA	Eurasia	Russia	X	X	X	2007
I	1d	KC503425.1	44339-637	American green-winged teal	Anseriformes	ANS	North America	USA	AK	AK	PAC	2009
I	1d	KC503446.1	44493-409	American green-winged teal	Anseriformes	ANS	North America	USA	AK	AK	PAC	2009
I	1d	KC503448.1	44493-503	American green-winged teal	Anseriformes	ANS	North America	USA	AK	AK	PAC	2009
I	1d	KC503449.1	44493-560	American green-winged teal	Anseriformes	ANS	North America	USA	AK	AK	PAC	2009
I	1d	KC503456.1	44493-736	American green-winged teal	Anseriformes	ANS	North America	USA	AK	AK	PAC	2009
I	1d	KC503460.1	44493-751	American green-winged teal	Anseriformes	ANS	North America	USA	AK	AK	PAC	2009
I	1d	KC503475.1	44494-794	American green-winged teal	Anseriformes	ANS	North America	USA	AK	AK	PAC	2009
I	1d	KP780878	ND0007164	American green-winged teal	Anseriformes	ANS	North America	USA	AK	AK	PAC	2013
I	1d	KX857667	AI07-2895	American green-winged teal	Anseriformes	ANS	North America	USA	LA	S	MIS	2007
I	1d	KX857673	AI08-4970	American green-winged teal	Anseriformes	ANS	North America	USA	MN	MW	MIS	2008
I	1d	KX857679	AI09-3588	American green-winged teal	Anseriformes	ANS	North America	USA	MN	MW	MIS	2009
I	1d	KX857684	AI10-4299	American green-winged teal	Anseriformes	ANS	North America	USA	MN	MW	MIS	2010
I	1d	KX857683	AI10-3541	Blue-winged Teal	Anseriformes	ANS	North America	USA	LA	S	MIS	2010
I	1d	KX857697	AI14-3025	Blue-winged Teal	Anseriformes	ANS	North America	USA	LA	S	MIS	2014
I	1d	KX857672	AI08-2490	Blue-winged Teal	Anseriformes	ANS	North America	USA	MN	MW	MIS	2008
I	1d	KX857685	AI10-4457	Blue-winged Teal	Anseriformes	ANS	North America	USA	TX	S	CEN	2010
I	1d	KX857694	AI13-3994	Blue-winged Teal	Anseriformes	ANS	North America	USA	TX	S	CEN	2013
I	1d	KX857695	AI13-4042	Blue-winged Teal	Anseriformes	ANS	North America	USA	TX	S	CEN	2013
I	1d	KX857696	AI14-2572	Blue-winged Teal	Anseriformes	ANS	North America	USA	TX	S	CEN	2014
I	1d	EF564823	04-612	duck	Anseriformes	ANS	North America	USA	OH	MW	MIS	2004
I	1d	AY626266	119535-1	duck	Anseriformes	ANS	North America	USA	USA	USA	USA	2001
I	1d	AY626267	154979-1	duck	Anseriformes	ANS	North America	USA	USA	USA	USA	2001
I	1d	KX857690	AI12-3182	Gadwall	Anseriformes	ANS	North America	USA	MN	MW	MIS	2012
I	1d	KC503435.1	44398-192	Great White-fronted Goose	Anseriformes	ANS	North America	USA	AK	AK	PAC	2008
I	1d	EF564813	176	American green-winged Teal	Anseriformes	ANS	North America	USA	AK	AK	PAC	1998
I	1d	JN942009.1	7847-2	mallard	Anseriformes	ANS	North America	USA	CT	NE	ATL	2009
I	1d	KP780877	ND0001525	mallard	Anseriformes	ANS	North America	USA	ID	W	PAC	2013
I	1d	EF564829	01-418	mallard	Anseriformes	ANS	North America	USA	MD	NE	ATL	2001
I	1d	EF564825	02-336	mallard	Anseriformes	ANS	North America	USA	MD	NE	ATL	2002
I	1d	EF564828	03-808	mallard	Anseriformes	ANS	North America	USA	MD	NE	ATL	2003
I	1d	EF564820	04-125	mallard	Anseriformes	ANS	North America	USA	MD	NE	ATL	2004
I	1d	EF564822	04-364	mallard	Anseriformes	ANS	North America	USA	MD	NE	ATL	2004
I	1d	KX857668	AI07-3115	mallard	Anseriformes	ANS	North America	USA	MN	MW	MIS	2007
I	1d	KX857670	AI08-2152	mallard	Anseriformes	ANS	North America	USA	MN	MW	MIS	2008
I	1d	KX857674	AI08-4984	mallard	Anseriformes	ANS	North America	USA	MN	MW	MIS	2008
I	1d	KX857678	AI09-2529	mallard	Anseriformes	ANS	North America	USA	MN	MW	MIS	2009
I	1d	KX857682	AI10-3156	mallard	Anseriformes	ANS	North America	USA	MN	MW	MIS	2010
I	1d	KX857689	AI11-4744	mallard	Anseriformes	ANS	North America	USA	MN	MW	MIS	2011
I	1d	KX857691	AI12-4502	mallard	Anseriformes	ANS	North America	USA	MN	MW	MIS	2012
I	1d	KX857693	AI13-3303	mallard	Anseriformes	ANS	North America	USA	MN	MW	MIS	2013
I	1d	KX857686	AI10-4506	mallard	Anseriformes	ANS	North America	USA	NJ	NE	ATL	2010
I	1d	JN942015.1	2080-2	mallard	Anseriformes	ANS	North America	USA	OH	MW	MIS	2008
I	1d	JN942012.1	22853	mallard	Anseriformes	ANS	North America	USA	WI	MW	MIS	2009
I	1d	JN942005.1	10145	muscovy duck	Anseriformes	ANS	North America	USA	PA	NE	ATL	2010
I	1d	KF444681.1	780	Mute Swan	Anseriformes	ANS	North America	USA	MI	MW	MIS	2012
I	1d	KF444680.1	1180	Mute Swan	Anseriformes	ANS	North America	USA	NJ	NE	ATL	2012
I	1d	EF612277	196	Northern Pintail	Anseriformes	ANS	North America	USA	AK	AK	PAC	1998
I	1d	KC503424.1	44339-630	Northern Pintail	Anseriformes	ANS	North America	USA	AK	AK	PAC	2007
I	1d	KC503426.1	44339-819	Northern Pintail	Anseriformes	ANS	North America	USA	AK	AK	PAC	2007
I	1d	KC503428.1	44339-832	Northern Pintail	Anseriformes	ANS	North America	USA	AK	AK	PAC	2007
I	1d	KC503429.1	44339-835	Northern Pintail	Anseriformes	ANS	North America	USA	AK	AK	PAC	2007
I	1d	KC503430.1	44340-136	Northern Pintail	Anseriformes	ANS	North America	USA	AK	AK	PAC	2007
I	1d	KC503436.1	44419-059	Northern Pintail	Anseriformes	ANS	North America	USA	AK	AK	PAC	2008
I	1d	KC503438.1	44420-025	Northern Pintail	Anseriformes	ANS	North America	USA	AK	AK	PAC	2008
I	1d	KC503439.1	44420-048	Northern Pintail	Anseriformes	ANS	North America	USA	AK	AK	PAC	2008
I	1d	KC503440.1	44420-067	Northern Pintail	Anseriformes	ANS	North America	USA	AK	AK	PAC	2008
I	1d	KC503441.1	44420-074	Northern Pintail	Anseriformes	ANS	North America	USA	AK	AK	PAC	2008
I	1d	KC503442.1	44420-080	Northern Pintail	Anseriformes	ANS	North America	USA	AK	AK	PAC	2008
I	1d	KC503443.1	44420-088	Northern Pintail	Anseriformes	ANS	North America	USA	AK	AK	PAC	2008
I	1d	KC503444.1	44420-127	Northern Pintail	Anseriformes	ANS	North America	USA	AK	AK	PAC	2008
I	1d	KC503450.1	44493-701	Northern Pintail	Anseriformes	ANS	North America	USA	AK	AK	PAC	2009
I	1d	KC503457.1	44493-737	Northern Pintail	Anseriformes	ANS	North America	USA	AK	AK	PAC	2009
I	1d	KC503461.1	44493-762	Northern Pintail	Anseriformes	ANS	North America	USA	AK	AK	PAC	2009
I	1d	KC503462.1	44493-765	Northern Pintail	Anseriformes	ANS	North America	USA	AK	AK	PAC	2009
I	1d	KC503463.1	44493-773	Northern Pintail	Anseriformes	ANS	North America	USA	AK	AK	PAC	2009
I	1d	KC503464.1	44493-779	Northern Pintail	Anseriformes	ANS	North America	USA	AK	AK	PAC	2009
I	1d	KC503468.1	44493-828	Northern Pintail	Anseriformes	ANS	North America	USA	AK	AK	PAC	2009
I	1d	KC503470.1	44493-865	Northern Pintail	Anseriformes	ANS	North America	USA	AK	AK	PAC	2009
I	1d	KC503472.1	44494-659	Northern Pintail	Anseriformes	ANS	North America	USA	AK	AK	PAC	2009
I	1d	JN941987.1	19663-2	Northern Pintail	Anseriformes	ANS	North America	USA	ID	W	PAC	2009
I	1d	JN942010.1	28171-16	Northern Pintail	Anseriformes	ANS	North America	USA	MI	MW	MIS	2009
I	1d	KX857677	AI09-1548	Franklin's Gull	Charadriiformes	CHA	North America	USA	MN	MW	MIS	2009
I	1d	KX857680	AI10-835	Greater Black-backed Gull	Charadriiformes	CHA	North America	USA	NJ	NE	ATL	2010
I	1d	KX857669	AI08-1534	Herring Gull	Charadriiformes	CHA	North America	USA	NJ	NE	ATL	2008
I	1d	KX857675	AI09-209	Herring Gull	Charadriiformes	CHA	North America	USA	NJ	NE	ATL	2009
I	1d	KX857681	AI10-991	Laughing Gull	Charadriiformes	CHA	North America	USA	NJ	NE	ATL	2010
I	1d	EF564819	2026	red knot	Charadriiformes	CHA	North America	USA	DE	NE	ATL	2002
I	1d	KX857666	AI07-1039	red knot	Charadriiformes	CHA	North America	USA	NJ	NE	ATL	2007
I	1d	KX857671	AI08-2203	Ring-billed Gull	Charadriiformes	CHA	North America	USA	MN	MW	MIS	2008
I	1d	KX857688	AI11-2185	Ring-billed Gull	Charadriiformes	CHA	North America	USA	NY	NE	ATL	2011
I	1d	EF564814	A100-625	Ruddy Turnstone	Charadriiformes	CHA	North America	USA	DE	NE	ATL	2000
I	1d	KX857676	AI09-619	Ruddy Turnstone	Charadriiformes	CHA	North America	USA	DE	NE	ATL	2009
I	1d	EF564830	01-523	Ruddy Turnstone	Charadriiformes	CHA	North America	USA	MD	NE	ATL	2001
I	1d	KX857687	AI11-982	Ruddy Turnstone	Charadriiformes	CHA	North America	USA	NJ	NE	ATL	2011
I	1d	KX857692	AI13-2469	Ruddy Turnstone	Charadriiformes	CHA	North America	USA	NJ	NE	ATL	2013
I	1d	JN942008.1	31670-4	chicken	Galliformes	CHI	North America	USA	FL	S	ATL	2009
I	1d	AY626268	101250-2	chicken	Galliformes	CHI	North America	USA	USA	USA	USA	2001
I	1d	EF564827	Mar-62	environment	Unspecified	UN	North America	USA	MD	NE	ATL	2003
I	1d	JN942011.1	18575-1	raptor	Accipitriformes	UN	North America	USA	MN	MW	MIS	2009
I	1d	JN942004.1	13890-2		Unspecified	UN	North America	USA	NJ	NE	ATL	2010
I	1d	JN942006.1	32796-2		Unspecified	UN	North America	USA	NJ	NE	ATL	2009
I	1d	JN942007.1	33250		Unspecified	UN	North America	USA	PA	NE	ATL	2009
II	Ia	AY935495	99-0868-hi	chicken	Galliformes	CHI	Oceania	Australia	X	X	X	1999
II	Ia	AY935496	99-0868-lo	chicken	Galliformes	CHI	Oceania	Australia	X	X	X	1999
II	Ia	M24692	D26/76	chicken	Galliformes	CHI	Oceania	Australia	X	X	X	1999
II	Ia	AY935500	I-2progenitor	chicken	Galliformes	CHI	Oceania	Australia	X	X	X	2005
II	Ia	AY935499	I-2vaccine	chicken	Galliformes	CHI	Oceania	Australia	X	X	X	2005
II	Ib	KC503447	AK/44493-444	American green-winged teal	Anseriformes	ANS	North America	USA	AK	AK	PAC	2009
II	Ib	KC503453	AK/44493-716	American green-winged teal	Anseriformes	ANS	North America	USA	AK	AK	PAC	2009
II	Ib	KC503471	AK/44493-893	American green-winged teal	Anseriformes	ANS	North America	USA	AK	AK	PAC	2009
II	Ib	KC503415	10UO0527	Anas sp	Anseriformes	ANS	East Asia	Japan	X	X	X	2010
II	Ib	AY972101	FarEast/3652	Baikal teal	Anseriformes	ANS	East Asia	Russia	X	X	X	2002
II	Ib	AY965077	FarEast/3658	Baikal teal	Anseriformes	ANS	East Asia	Russia	X	X	X	2002
II	Ib	KX857701	AI12-4416	Blue-winged Teal	Anseriformes	ANS	North America	USA	LA	S	MIS	2012
II	Ib	KX857698	AI12-3663	Blue-winged Teal	Anseriformes	ANS	North America	USA	TX	S	CEN	2012
II	Ib	KX857700	AI12-4395	Blue-winged Teal	Anseriformes	ANS	North America	USA	TX	S	CEN	2012
II	Ib	KX857706	AI13-4119	Blue-winged Teal	Anseriformes	ANS	North America	USA	TX	S	CEN	2013
II	Ib	KX857710	AI14-3711	Blue-winged Teal	Anseriformes	ANS	North America	USA	TX	S	CEN	2014
II	Ib	KT186351	DK13	domestic duck	Anseriformes	ANS	East Asia	South Korea	X	X	X	2007
II	Ib	FJ597605	AH/13	duck	Anseriformes	ANS	East Asia	China	X	X	X	2004
II	Ib	FJ597603	AH/5	duck	Anseriformes	ANS	East Asia	China	X	X	X	2004
II	Ib	FJ597604	AH/6	duck	Anseriformes	ANS	East Asia	China	X	X	X	2004
II	Ib	HM125898	WDK/Jiangxi/7793	duck	Anseriformes	ANS	East Asia	China	X	X	X	2004
II	Ib	FJ597613	ZJ/1	duck	Anseriformes	ANS	East Asia	China	X	X	X	2004
II	Ib	FJ597614	ZJ/2	duck	Anseriformes	ANS	East Asia	China	X	X	X	2004
II	Ib	FJ597615	ZJ/3	duck	Anseriformes	ANS	East Asia	China	X	X	X	2004
II	Ib	KC750151	GD/SH	duck	Anseriformes	ANS	East Asia	China	X	X	X	2005
II	Ib	FJ597617	HN/34	duck	Anseriformes	ANS	East Asia	China	X	X	X	2005
II	Ib	FJ597618	HN/36	duck	Anseriformes	ANS	East Asia	China	X	X	X	2005
II	Ib	FJ597619	HN/37	duck	Anseriformes	ANS	East Asia	China	X	X	X	2005
II	Ib	FJ597611	JS/14	duck	Anseriformes	ANS	East Asia	China	X	X	X	2005
II	Ib	FJ597620	JS/39	duck	Anseriformes	ANS	East Asia	China	X	X	X	2005
II	Ib	FJ597606	JS/40	duck	Anseriformes	ANS	East Asia	China	X	X	X	2005
II	Ib	FJ597607	JS/41	duck	Anseriformes	ANS	East Asia	China	X	X	X	2005
II	Ib	FJ597608	JS/42	duck	Anseriformes	ANS	East Asia	China	X	X	X	2005
II	Ib	FJ597609	JS/51	duck	Anseriformes	ANS	East Asia	China	X	X	X	2005
II	Ib	FJ597610	JS/53	duck	Anseriformes	ANS	East Asia	China	X	X	X	2005
II	Ib	FJ597612	S15	duck	Anseriformes	ANS	East Asia	China	X	X	X	2005
II	Ib	FJ597616	ZJ/50	duck	Anseriformes	ANS	East Asia	China	X	X	X	2005
II	Ib	KC750152	GD/SZ	duck	Anseriformes	ANS	East Asia	China	X	X	X	2008
II	Ib	JX193077	Guangxi16	duck	Anseriformes	ANS	East Asia	China	X	X	X	2008
II	Ib	JX193078	Guangxi17	duck	Anseriformes	ANS	East Asia	China	X	X	X	2009
II	Ib	JX193081	Guangxi20	duck	Anseriformes	ANS	East Asia	China	X	X	X	2010
II	Ib	JX193083	Guangxi22	duck	Anseriformes	ANS	East Asia	China	X	X	X	2010
II	Ib	KM885166	LAH/224	duck	Anseriformes	ANS	East Asia	China	X	X	X	2011
II	Ib	KT381598	Guangdong/GM12	duck	Anseriformes	ANS	East Asia	China	X	X	X	2014
II	Ib	KT381599	Guangdong/GZ331	duck	Anseriformes	ANS	East Asia	China	X	X	X	2014
II	Ib	AB871655	Tottori/N12	duck	Anseriformes	ANS	East Asia	Japan	X	X	X	2006
II	Ib	HE972210	3785	duck	Anseriformes	ANS	Europe	Luxembourg	X	X	X	2007
II	Ib	AY965078	FarEast/2686	duck	Anseriformes	ANS	East Asia	Russia	X	X	X	2001
II	Ib	AY965079	FarEast/2713	duck	Anseriformes	ANS	East Asia	Russia	X	X	X	2001
II	Ib	JQ966078	WB/KU22-1	Eurasian teal	Anseriformes	ANS	East Asia	South Korea	X	X	X	2007
II	Ib	HM063422	D3/Guang-dong	feral duck	Anseriformes	ANS	East Asia	China	X	X	X	2007
II	Ib	KC894391	Jilin	mallard	Anseriformes	ANS	East Asia	China	X	X	X	2011
II	Ib	KJ920203	Yakutiya/852	mallard	Anseriformes	ANS	East Asia	Japan	X	X	X	2011
II	Ib	HE972213	4178	mallard	Anseriformes	ANS	Europe	Luxembourg	X	X	X	2008
II	Ib	KX857699	AI12-4078	Mallard	Anseriformes	ANS	North America	USA	MN	MW	MIS	2012
II	Ib	KX857703	AI12-4716	Mallard	Anseriformes	ANS	North America	USA	MN	MW	MIS	2012
II	Ib	KX857704	AI12-4867	Mallard	Anseriformes	ANS	North America	USA	MN	MW	MIS	2012
II	Ib	KX857705	AI13-3228	Mallard	Anseriformes	ANS	North America	USA	MN	MW	MIS	2013
II	Ib	KX857707	AI13-4403	Mallard	Anseriformes	ANS	North America	USA	MN	MW	MIS	2013
II	Ib	KX857708	AI14-3310	Mallard	Anseriformes	ANS	North America	USA	MN	MW	MIS	2014
II	Ib	KX857709	AI14-3452	Mallard	Anseriformes	ANS	North America	USA	MN	MW	MIS	2014
II	Ib	JX401404	CBU2179	mallard	Anseriformes	ANS	East Asia	South Korea	X	X	X	2007
II	Ib	JX401403	CBU2249	mallard	Anseriformes	ANS	East Asia	South Korea	X	X	X	2007
II	Ib	JX401405	CBU2374	mallard	Anseriformes	ANS	East Asia	South Korea	X	X	X	2007
II	Ib	JQ966082	WB/KU146	mallard	Anseriformes	ANS	East Asia	South Korea	X	X	X	2008
II	Ib	JQ966077	WB/KU17/08	mallard	Anseriformes	ANS	East Asia	South Korea	X	X	X	2008
II	Ib	JQ966085	WB/KU762	mallard	Anseriformes	ANS	East Asia	South Korea	X	X	X	2008
II	Ib	JQ966084	WB/KU628	mallard	Anseriformes	ANS	East Asia	South Korea	X	X	X	2009
II	Ib	EF564821	MD/04-204	mallard	Anseriformes	ANS	North America	USA	MD	NE	ATL	2004
II	Ib	JX518873	MGA057C	Meller's duck	Anseriformes	ANS	Africa	Madagascar	X	X	X	2009
II	Ib	FJ600539	FJ0801	mule duck	Anseriformes	ANS	East Asia	China	X	X	X	2008
